1,Free-Work,"Suspendisse interdum tincidunt tincidunt. Donec sed mauris ut ante suscipit aliquet a in metus. Vestibulum felis nisi, accumsan vitae pellentesque quis, pretium in erat. Etiam facilisis elit mollis augue maximus interdum eu vitae nunc. Etiam rhoncus urna eget turpis luctus vulputate. Cras ut elementum sem. Integer sed nisi in diam pretium sodales. Suspendisse ut diam odio. Orci varius natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Sed ac tempor libero, in facilisis quam.

Sed dolor lectus, aliquet nec lectus vel, gravida euismod erat. Quisque ut accumsan metus. Vivamus laoreet lorem arcu, vitae porttitor magna ultrices ut. Fusce neque tellus, porttitor a aliquam tincidunt, condimentum non dolor. Duis a interdum velit. Phasellus varius turpis vel gravida aliquam. Nullam sit amet tincidunt justo. Nulla volutpat ultrices elit id feugiat. Ut finibus et metus sit amet scelerisque. Vivamus semper pretium mauris, ut bibendum urna gravida ac. Vestibulum ex dolor, pulvinar sed dui nec, gravida ultricies dui.

Vivamus feugiat efficitur elit eu ultrices. Nunc egestas at elit quis fermentum. Nulla sed lacinia lorem, ornare accumsan ex. Aenean a mauris dui. Nullam dui dui, gravida vitae eros ac, consequat faucibus nisi. Quisque mollis justo quis euismod auctor. Maecenas viverra dolor sit amet lectus congue dictum. Curabitur pharetra leo augue, ac luctus tellus sagittis vitae. Nulla consectetur tortor vitae mi pellentesque varius.",1337 M€,employees_20_99,https://www.free-work.com,http://www.linkedin.com/free-work,http://www.facebook.com/free-work,http://www.twitter.com/free-work,2002,1,1,48.8860666,2.2607434,5,Rue de Bailly,,Neuilly-sur-Seine,neuilly-sur-seine,92200,Île-de-France,ile-de-france,Hauts-de-Seine,hauts-de-seine,France,FR,"5 rue bailly, 92200, neuilly-sur-seine, france",2021-01-01 10:00:00,"php,symfony,javascript"
2,Twitter,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Praesent nec tellus vel libero pellentesque blandit. Maecenas luctus tortor erat. Aenean sagittis vel felis ac dignissim. Etiam a ipsum placerat, hendrerit massa quis, consequat orci. Duis vitae vehicula felis. Donec eu arcu tellus. Integer ac tempor ipsum. Proin consectetur nisl dolor, eget egestas lectus eleifend finibus. Ut vehicula quam nec aliquam malesuada. Praesent semper orci eros, a elementum felis commodo quis. Sed aliquet blandit turpis. Integer at ex mi. Sed pulvinar lectus a dolor malesuada aliquam id quis leo.

Pellentesque lobortis porttitor nisl ut pulvinar. Curabitur molestie efficitur ante, commodo rhoncus sapien bibendum nec. Maecenas sed ex mauris. Maecenas quis urna risus. Nulla mattis lectus vel quam egestas, vel scelerisque urna sollicitudin. Nulla lectus lectus, pellentesque quis consectetur a, rhoncus ultricies tellus. Donec pretium sem id lectus posuere venenatis. Fusce euismod ultricies sem ut commodo. Quisque lectus nisl, mattis ut odio eget, porttitor tincidunt augue. Aliquam a eros eu justo placerat semper aliquet sit amet nibh. Phasellus congue, lorem ut pretium tempus, sapien erat rhoncus nibh, at vestibulum odio metus in nisl. Cras nec tempus metus. Pellentesque et mauris tempor, tempor ipsum mollis, porttitor risus.

Duis laoreet justo sem, dignissim posuere purus sollicitudin nec. Class aptent taciti sociosqu ad litora torquent per conubia nostra, per inceptos himenaeos. Fusce faucibus luctus orci. Nunc tristique quis risus id rhoncus. Nunc ultricies faucibus ex, id suscipit eros maximus in. Donec ante mauris, semper at arcu non, commodo hendrerit dolor. Ut vehicula diam dolor, in tincidunt arcu laoreet ac. Nam suscipit vehicula tellus nec tempus. In sollicitudin eleifend semper. Integer dignissim neque eget facilisis euismod. Pellentesque habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Duis bibendum pellentesque lectus, ut consectetur nisl maximus nec.",200k €,more_than_1000_employees,https://twitter.com,http://www.linkedin.com/twitter,http://www.facebook.com/twitter,http://www.twitter.com/twitter,2005,1,2,48.8864271,2.2607434,12,Rue de Bailly,,Neuilly-sur-Seine,neuilly-sur-seine,92200,Île-de-France,ile-de-france,Hauts-de-Seine,hauts-de-seine,France,FR,"12 rue bailly, 92200, neuilly-sur-seine, france",2021-01-01 11:00:00,"j2ee,javascript"
3,Facebook,"Pellentesque blandit ut sem tristique aliquam. Phasellus sed diam at sapien feugiat volutpat sed vel turpis. Praesent condimentum nisl sapien, eu convallis tellus dignissim in. In fringilla nunc eu odio facilisis finibus. Duis sit amet mi in leo vestibulum consequat. Duis convallis libero iaculis, pharetra urna in, feugiat arcu. Etiam congue sollicitudin erat at cursus. Aliquam tortor mauris, accumsan a libero vitae, ultricies sollicitudin leo. Donec tellus leo, lobortis a feugiat nec, pulvinar eu nunc. Mauris rutrum fermentum quam vel molestie.

In accumsan ullamcorper ante, et scelerisque quam. Ut lectus est, faucibus ac libero non, lacinia imperdiet ligula. Nullam diam ex, finibus ac mi id, sodales faucibus nibh. Nullam et placerat leo, ut faucibus neque. Vestibulum pretium nisi a metus vulputate, ut maximus lacus ornare. Ut tristique eu purus nec sodales. Duis tincidunt dui eget imperdiet pretium. Aenean a euismod metus. Nulla aliquet, nulla nec varius volutpat, quam nibh imperdiet enim, id placerat ante arcu tincidunt tortor. Sed feugiat neque non leo faucibus, quis interdum augue rutrum. Vestibulum tincidunt ante ut ligula lobortis, commodo lobortis ante venenatis. Sed eu pulvinar elit. In ante nulla, iaculis sit amet arcu fermentum, tincidunt malesuada elit.

Proin eleifend porttitor risus nec feugiat. Vivamus sit amet erat neque. Morbi placerat orci in sapien cursus cursus. Suspendisse ornare, dolor ut auctor ornare, felis nisl ultrices purus, sit amet tempor quam nisi eget ligula. Nunc dapibus dui sit amet lorem sollicitudin, non malesuada odio tempor. In et porta nunc. Cras lectus massa, efficitur non faucibus sit amet, interdum tempus tortor. Sed finibus efficitur suscipit. In dignissim arcu condimentum nisi convallis, auctor tincidunt nisl vulputate. Vivamus tincidunt finibus vehicula. Fusce nec magna ut nulla placerat tristique. In eget ante condimentum, posuere massa sed, feugiat tortor. Ut sed lobortis ante. Nulla enim lorem, vehicula vitae gravida efficitur, faucibus nec sem.",100000,more_than_1000_employees,https://www.facebook.com,http://www.linkedin.com/facebook,http://www.facebook.com/facebook,http://www.twitter.com/facebook,2007,1,3,48.9010316,2.2535731,30,Rue Kilford,,Courbevoie,courbevoie,92400,Île-de-France,ile-de-france,Hauts-de-Seine,hauts-de-seine,France,FR,"30 rue kilford, 92400 courbevoie, france",2021-01-01 12:00:00,
5,Groupe Les Mousquetaires,"Les Mousquetaires : sept enseignes et un modèle unique.

Fort de plus de 50 ans d’expérience, le Groupement Les Mousquetaires a toujours poursuivi avec enthousiasme sa marche en avant, à travers la France et l’Europe. Ce sont aujourd’hui sept enseignes, et près de 4 000 points de vente, qui font la force de notre groupe. Plus de 100 nouveaux projets pilotés par 900 collaborateurs, on peut dire que le pôle informatique est à la hauteur de la taille du groupe ! L’objectif : proposer des solutions toujours plus innovantes au service de la performance bien sûr. Et pour relever ce défi, tous les talents sont bienvenus : architectures informatiques, conception et réalisation d’applications, assistance aux utilisateurs… On vous attend !",1 000 000 euros,more_than_1000_employees,https://www.mousquetaires.com/notre-groupement/,https://www.linkedin.com/company/les-mousquetaires,https://twitter.com/mousquetairesfr,,1969,1,4,48.612324,2.376575,,,,Bondoufle,bondoufle,91078,Île-de-France,ile-de-france,Essonne,essonne,France,FR,"91078 bondoufle, france",2021-01-01 13:00:00,"php,laravel,reactjs"
1,TUTU,"lorem ipsum  is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.",250000,employees_20_99,https://www.freelance-info.fr,https://www.freelance-info.fr/linkedin,http://hello,https://www.freelance-info.fr/twitter,2000,0,107929,50.6534200,3.0678081,98,Rue Saint-Victor,,La Madeleine,la-madeleine,59110,Hauts-de-France,hauts-de-france,Nord,nord,France,FR,"98 rue saint victor, 59110, la madeleine, france",2018-11-06 10:56:04,php
9,EXPERIS IT,"Experis IT est le premier acteur mondial du recrutement et des services professionnels en informatique et télécoms, au carrefour des métiers de l’IT et du domaine des ressources humaines.
Notre entité Services Informatiques recrute en permanence de nouveaux collaborateurs et leur permet d’intervenir auprès d’un large panel de grands comptes et dans de multiples secteurs d’activité (Banque, Assurance, Telecom, Energie, Services…).
Notre engagement : entrer dans une relation de confiance et mettre tout en œuvre pour valoriser vos compétences, vous former et vous aider à progresser pour construire et consolider ensemble votre carrière.
Experis IT est une filiale de ManpowerGroup. En savoir plus : http://www.experisIT.fr/",,more_than_1000_employees,http://www.experisIT.fr/,,,,1987,0,397,,,,,,,,,,,,,,,"13 rue ernest renan, 92723, nanterre cedex, france",2005-04-28 08:40:45,php
,D'ADOXE,"Adoxe est une société de conseil en informatique spécialisée dans les environnements de stockage, sauvegarde et archivage. Nous avons une expérience très marquée sur les réseaux SAN, la virtualisation et la continuité d'activité. Nos activités sont scindées en quatre pôles :

Conseil
Définition d'architectures, audit des infrastructures, urbanisation des environnements de stockage et sauvegarde etc

Gestion de projets
Implémentation et mise en oeuvre de vos solutions techniques

Gestion des infrastructures, sur site et à distance
Gestion des incidents sur escalade du pilotage, gestion des changements, maintien en condition opérationnelle des infrastructures, organisation des comités de pilotage etc

Formation de vos équipes chez vous ou dans nos locaux sur du matériel dédié (Stockage EMC, SAN, NAS, IBM, HP, Sauvegarde Networker, Netbackup)

Pour vos besoins en délégation de personnel, nous disposons de profils type Chefs de projets, Architectes, Administrateurs, Assistants à maîtrise d'ouvrage%u2026

Nous couvrons notamment :
-	Les environnements de stockage
Baies HDS, EMC², Netapp, IBM etc
Réseaux de données SAN/NAS/DAS etc
-	Les sauvegardes
Robotique StorageTek, Overland, Adic, etc
Logiciels Legato, Veritas-Symantec, Backbone, CommVault etc
Solutions VTL
-	Les technologies à Haute Disponibilité
-	L'archivage
-	La réplication de données (PRA)
-	Les environnements virtualisés



Partenariats ADOXE :
Nous sommes partenaires services chez VMware, DELL, Netapp, Brocade, EMC², Commvault et Bakbone

Références ADOXE :
Entre autres références, nous travaillons avec LVMH, ATOS, NATIXIS, SFR, EBSCO, Datasave, eTF1, Playmobil, IBM, PPR...


Pour plus de renseignements, n'hésitez pas à nous contacter.",,,http://www.adoxe.com,,,,2004,0,561,48.7946859,2.1220447,7,Rue Albert Samain,Saint-Louis,Versailles,versailles,78000,Île-de-France,ile-de-france,Yvelines,yvelines,France,FR,"7 rue albert samain, 78000, versailles, france",2007-10-21 14:17:52,php
,Présentation société OXIO,"La société OXIO mène une activité soutenue d'édition et de service dans les domaines du transfert de données (ETL) et du décisionnel. 
Confrontés aux difficultés de nos clients de trouver des solutions ETL à coût modéré, Oxio a développé Data Intelligence et ouvre ainsi l'accès au décisionnel pour le plus grand nombre.

Une solution riche en fonctionnalités qui se démarque de la concurrence par sa plus grande simplicité d'utilisation, son portail end user et sa tarification en direction des PME et collectivités.

Les fonctionnalités innovantes de portail web et de pilotage d'outils de reporting facilitent la mise à disposition d'une l'information fiable à l'instant souhaité.
    
« Au-delà de notre expérience dans ce domaine, 
nous défendons avant tout des valeurs qui nous sont chères. 
Écouter, comprendre et proposer sont nos préoccupations 
principales afin de répondre efficacement aux problématiques de nos clients.
Notre outil, Data Intelligence, a été conçu dans cet esprit. »
Sylvain COSTA, OXIO",,,http://www.oxio.fr,,,,2004,0,812,45.1689404,5.7319367,,Rue des Alliés,Secteur 4,Grenoble,grenoble,38100,Auvergne-Rhône-Alpes,auvergne-rhone-alpes,Isère,isere,France,FR,"115, rue des alliés, 38100, grenoble, france",2007-11-26 17:24:58,php
,DE MASAO,"MASAO est une société de service en informatique, spécialisée dans l'intégration de solutions CRM, Décisionnelles et Collaboratives. En partenariat avec les éditeurs Selligent et MIcrosoft, nous nous positionnons comme experts de leurs solutions respectives. 

MASAO compte déjà de nombreux clients dans différents secteurs d'activité et connait aujourd'hui une forte croissance.

Nous recherchons des personnes dynamiques, compétentes techniquement et ayant un excellent relationnel pour continuer à écrire l'histoire MASAO.",,,http://www.masao.eu,,,,2006,1,841,48.8566704,2.3364887,12,Rue de Seine,Quartier de Saint-Germain-des-Prés,Paris,paris,75006,Île-de-France,ile-de-france,,,France,FR,"12 rue de seine, 75006, paris, france",2007-11-30 10:34:53,php
3,Smarteo,"Smarteo est une agence spécialisée dans le placement de consultants experts dans le domaine des métiers de l’informatique. Nos chargés d’affaires définissent avec vous votre besoin, et vous proposent les meilleurs candidats en adéquation avec celui-ci. 

Nos principaux atouts sont :

 La flexibilité de nos prestations grâce à la présentation de profils de consultants en adéquation directe avec votre requête,
 
 La rapidité de notre intervention grâce à notre engagement de répondre à votre besoin dans les plus brefs délais,

 La maîtrise de vos ressources financières grâce à une offre de services adaptée au budget proposé,

 Et surtout la richesse de notre base de données avec plus de 20000 consultants sélectionnés sur leur expertise et rigueur d'intervention.


Le classement des profils des consultants est effectué en fonction de :

Leurs compétences (manageriales, fonctionnelles, techniques, pédagogiques), 

Leurs expériences par secteur d'activité, 

Ainsi que leurs conditions de disponibilité.",,employees_20_99,https://smarteo.com,,,,2002,1,850,48.8627956,2.3409869,23,Rue Jean-Jacques Rousseau,Paris 1er Arrondissement,Paris,paris,75001,Île-de-France,ile-de-france,,,France,FR,"23 rue jean-jacques rousseau, 75001, paris, france",2005-07-11 12:52:50,php
