jira,JIRA,jira-software
kubernetes,Kubernetes,
j2ee-java-ee,J2EE / Java EE,"java-j2ee, java-j-2-ee, java-jee, j2ee, jee, java-ee, javaee, j-2-ee"
net,.NET,dotnet
sap,SAP,"sap-ecc, sap-erp, sap-sd, ecc"
sap-s4hana,SAP S/4HANA,"sap-s, sap-hana"
devops,DevOps,
angular,Angular,
cloud,Cloud,cloud-computing
aws-cloud,AWS Cloud,"aws, cloud-aws, amazon-aws, amazon-web-services"
methode-agile,Méthode Agile,"agile-methodologies, agile-methodology, agiles, methodes-agiles, agile, methodologie-agile"
spring,Spring,"spring-cloud, spring-framework"
e-commerce,E-commerce,
jenkins,Jenkins,
azure,Azure,"cloud-azure, microsoft-azure, ms-azure"
ansible,Ansible,
scrum,Scrum,
moa,MOA,
linux,Linux,linux-server
java,Java,java-1-1
vuejs,Vue.js,vue-js
windows-server,Windows Server,"server-2012, server-2016, server-2-0-0-3, windows-server-2-0-1-2-r-2, server-2-0-0-8, server-2-0-1-6, windows-server-2-0-0-3, windows-server-2-0-1-9, windows-server-2-0-0-8-r-2, windows-server-2-0-1-6, windows-server-2-0-0-8, windows-server-2-0-1-2, windows-serveur"
microsoft-office,Microsoft Office,"microsoft-office-suite, pack-microsoft-office, pack-office-3-6-5, suite-microsoft-office, microsoft-office-3-6-5,  office-3-6-5, pack-office-microsoft, ms-office, office365, office, suite-office, pack-office, o365, suite-microsoft, o-3-6-5, microsoft-3-6-5"
pl-sql,PL/SQL,"pl, plsql"
microsoft-windows,Microsoft Windows,"windows-7, windows-9-8, windows-98, windows-8, windows-2-0-0-0, windows-7-1-0, windows, os-windows, windows-xp, ms-windows, vista, win-1-0, win-7"
ipv4,IPv4,ipv-4
api,API,
administration-systemes-et-reseaux,Administration systèmes et réseaux,
informatique,Informatique,
architecture,Architecture,
api-rest,API REST,"rest-apis, rest-api, restapi, restful-api, restful"
es6,ES6,es-6
bi,BI,
infrastructure,Infrastructure,infrastructures
node-js,Node.js,"node, nodejs"
finance,Finance,
cap-ft,CAP FT,capft
javascript,Javascript,"java-script, js"
active-directory,Active Directory,"active, activedirectory, ad"
powershell,Powershell,power-shell
i2c,I2C,i-2-c
kotlin,Kotlin,
amazon-elastic-compute-cloud-ec2,Amazon Elastic Compute Cloud (EC2),"ec2, amazon-ec2, ecs, ec-2"
application-mobile,Application mobile,
divi,Divi,
redaction,Rédaction,
swift,SWIFT,
gns3,GNS3,gns-3
archicad,Archicad,
redux-toolkit,Redux Toolkit,
pl-pgsql,PL/pgSQL,pgsql
ciel-compta,Ciel Compta,ciel
thymeleaf,Thymeleaf,
imovie,iMovie,
algorithmique,Algorithmique,algorithmie
spark-streaming,Spark Streaming,
sfml,SFML,
terraform,Terraform,
branding,Branding,
adobe-creative-suite,Adobe Creative Suite,"suite-adobe, adobe-suite"
apache-airflow,Apache Airflow,airflow
raci,RACI,
sap-bw,SAP BW,bw
web-analytics,Web analytics,
knime,KNIME,
aps,APS,
forms,Forms,
minitab,Minitab,
run,Run,
kaizen,Kaizen,
alm,ALM,
sst,SST,
code-blocks,Code Blocks,codeblocks
architecture-arm,Architecture ARM,arm
intel-quartus-prime,Intel Quartus Prime,quartus
ioc,IOC,
product-information-management-pim,Product Information Management (PIM),pim
vanilla-js,Vanilla JS,vanilla
sprint-planning,Sprint Planning,sprint
adobe-campaign,Adobe Campaign,
laravel,Laravel,
vpn-ssl,VPN SSL,
helm,Helm,
rf,RF,
project-portfolio-management-ppm,Project Portfolio Management (PPM),ppm
red-hat-linux,Red Hat Linux,"linux-redhat, redhat, red-hat, rhel"
lms-learning-management-system,LMS (Learning Management System),lms
mfa,MFA,
apache-sqoop,Apache Sqoop,sqoop
apache-pig,Apache Pig,pig
pop,POP,
polycom,Polycom,
smed,SMED,
network-and-information-system-security-nis,Network and Information System Security (NIS),nis
pentesting,Pentesting,pentest
facebook-ads,Facebook Ads,
net-core,.NET CORE,
azure-data-factory,Azure Data Factory,
wireframing,Wireframing,"wireframes, wireframe"
