Name,Category,Used for User,	Name for User,Used for Contribution,Name For Contribution,Ref Id,Salary - Description,Salary – Formation,Salary – Standard mission,Salary – Skills,Salary - Seo - Meta Title,Salary - Seo - Meta Description,Job - Description SEO,FAQ - Price,FAQ - Definition,FAQ - Missions,FAQ - Skills,FAQ - Profile,FAQ – Seo - Meta Title,FAQ – Seo - Meta Description
Administrateur BDD,Data,1,Administrateur de base de données,1,"Administrateur de base de donnée (oracle, sybase…)",,"L'administrateur de bases de données est responsable du bon fonctionnement d'une base de données.
A ce titre, il est principalement en charge des périmètres suivants : intégrité des données, sécurité, performance, aide au développement et au test, disponibilité et recouvrement de données.
C'est donc lui qui conçoit, gère et administre les systèmes de gestion de données de l'entreprise, et qui en assure à la fois la cohérence, la qualité et la sécurité.
L'administrateur de base de données est également appelé gestionnaire de base de données, administrateur de bases de données, ingénieur datawarehouse ou encore database administrator (DBA).",Bac +5 école d'ingénieurs,"Conception et spécifications des paramètres et de l'architecture de la base de données en lien avec l'architecture SI Administration de la base de données
Suivi de la qualité des données
Suivi du niveau de service
Gestion des accès utilisateurs et de la sécurité
Gestion des évolutions, des migrations et des back up
Mise à jour des documents d'exploitation
Support technique (utilisateurs et équipes de développement)
Garantie de la confidentialité, de l'intégrité et de la disponibilité des données","ORACLE
SYBASE
SQL SERVER
DB2
Architecture technique SI
Intégration
Gestion des opérations informatiques
Gestion des contrôles, tests et diagnostics",TJM et salaire : Administrateur base de données | Free-Work.com,"Retrouvez le TJM et le salaire moyen pour le métier d' Administrateur base de données. Retrouvez également toutes les informations relatives à ce métier, le profil type, les compétences…","Le rôle de l'administrateur de base de données s'apparente à celui d'un gestionnaire. Il doit gérer les données des clients, les tarifs, de multiples documents ainsi que des statistiques. Toutes ces informations sont mises à la disposition des personnes qui en ont besoin. De manière générale, un administrateur de base de données est en veille permanente puisqu'il va assurer une partie de la sécurité des données. Il doit donc être en mesure d'intervenir rapidement si un problème survient.","En fonction de son expérience, un administrateur de base de données va pouvoir prétendre à un taux journalier moyen plus ou moins important. Actuellement, le TJM moyen pour un administrateur de base de données s'élève à 340 € par jour. Un professionnel disposant de plus de 10 ans d'expérience pourra prétendre à un TJM deux fois plus important. Le salaire mensuel moyen d'un administrateur base de données est de 4500€. ","L'administrateur de base de données est également connu sous le nom de gestionnaire de base de données. Son rôle au sein du service IT d'une entreprise est des plus importants puisque c'est lui qui s'occupe de gérer les données et de les mettre à disposition. Il va également assurer la sécurité du réseau informatique ainsi que celle des données. Il travaille régulièrement pour augmenter les performances de tout le système afin que les personnes qui l'utilisent puissent accéder aux données le plus simplement et rapidement possible. C'est à l'administrateur de base de données que revient la charge de choisir les différents logiciels qui vont être utilisés au sein de l'entreprise. Il sera également de son ressort de les installer et de les configurer. En cas de besoin, un administrateur de base de données peut être amené à former les différentes personnes utilisant le système informatique de l'entreprise.","Un administrateur de base de données va pouvoir gérer différentes missions. Il est capable de concevoir une base de données du début à la fin, cela signifie qu'il va gérer les paramètres ainsi que la sécurité. Il dispose d'une capacité d'adaptation importante puisqu'il doit prendre en compte les impératifs de son client pour créer la base de données. Il doit également être capable d'administrer et d'effectuer la maintenance sur les différentes bases de données. Il pourra alors être amené à dimensionner un serveur ou encore à garantir la disponibilité des différentes données qui sont stockées dans la base. Un administrateur de base de données en freelance va également être amené régulièrement à veiller à ce que les sauvegardes soient correctement réalisées afin que les fichiers ne puissent pas être perdus en cas d'incident sur les serveurs de stockage. De manière générale, un administrateur BDD doit effectuer une veille technologique sur les bases de données afin que les performances du système informatique soient toujours optimales. Enfin, on peut noter que l'administrateur de base de données se doit d'être présent pour former certaines personnes en cas de besoin mais également pour assister les informaticiens.","Un administrateur de base de données dispose d'une bonne connaissance du système informatique de manière générale ainsi que de l'architecture de ce dernier. Il est capable de gérer les différents systèmes ainsi que différents types de base de données. La maîtrise du langage de requête SQL est impérative, de même qu'un administrateur se doit de connaître les différents scripts Shell. Par ailleurs, l'administrateur BDD dispose de compétences en matière de cybersécurité. Il est important de noter que ce professionnel doit également disposer d'une certaine maîtrise de l'anglais.","Le métier d'administrateur de base de données est tout à fait adapté pour une personne qui est capable de s'adapter rapidement au service IT de l'entreprise, notamment dans le cas où elle évolue en freelance. Un administrateur de base de données est une personne qui doit être réactive et également pédagogue puisqu' elle sera amenée à former différentes personnes en cas de besoin. Enfin, un administrateur doit être réactif et rigoureux puisqu'il sera nécessaire d'intervenir rapidement en cas de problème au niveau de la sécurité du réseau par exemple. La gestion des données demande de la rigueur puisque celles-ci doivent pouvoir être mise à disposition des utilisateurs en toutes circonstances.",Fiche métier : Administrateur base de données | Free-Work.com,"Découvrez le métier d'administrateur base de données. Les compétences requises, les missions principales, le salaire, le TJM, la formation."
Administrateur ERP,"Production, Système et Réseau , Support",1,Administrateur applicatif,1,"Administrateur applicatif (ERP, CRM, SIRH ...)",,"Rattaché directement au responsable du système d’information métier, l’administrateur applicatif  (ERP, CRM, SIRH ...) est la personne chargée d’assurer les activités de suivi d’exploitation qui sont liées à une application, ou même à un ensemble d’applications. On fait surtout référence à la gestion des traitements et les données. Il veille ainsi à la collecte, le traitement, le stockage, ainsi que la mise à disposition des données de la cohorte pour le pôle gestion des données, ainsi que les équipes de recherche. Pour bien remplir sa mission, l’administrateur applicatif est tenu de réaliser diverses activités au sein de la structure. C’est pourquoi on attend aussi de lui qu’il possède de nombreuses compétences. C’est à lui que revient la tâche d’écouter, de collecter, et de synthétiser des besoins, des évolutions, ou encore des demandes d’amélioration.","Devenir administrateur applicatif implique au moins un Bac+3 au minimum ( licence professionnelle, ou diplôme d’ingénieur en informatique). C’est un professionnel qui doit faire preuve d’une parfaite maitrise des logiciels de sondage, de travail collaboratif ou d’enquête statistique. Il doit également maitriser les systèmes d’exploitations les plus courants ( Windows, Mac OS, Linux, etc.), en plus de connaitre parfaitement l’environnement technique des systèmes d’information et IT, les langages de programmation, ou encore les systèmes de gestion de base de données.","
•        Déployer des applications et accompagner leur des montées de versions
•        Entretenir les applications en place dans toutes leurs dimensions
•        Aider et accompagner les utilisateurs
•        Mise à jour des droits d’accès administrateurs ou utilisateurs
•        Planifier et participer à la mise en œuvre des applicatifs métiers
•        Construire des outils statistiques
•        Solutionner rapidement les incidents et optimiser les performances
•        Participer aux équipes projet pour la mise en œuvre de nouvelles fonctionnalités
•        Planification des traitement batch et réalisation de la sauvegarde des applications en fonction de leurs données propres.
•        Mise à jour de la documentation d’exploitation et de la base de gestion des configurations
•        Effectuer la veille technologique et faire évoluer le parc logiciel et matériel","•        Capacité à réaliser un diagnostic profond
•        Capacité à gérer les situations d’urgence
•        Hiérarchisation des priorités
•        Installation et déploiement de procédures techniques d’exploitation
•        Amélioration d’un système d’information
•        Administration d’un système d’information
•        Actualisation des systèmes d’information
•        Analyse des performances d’un système
•        Très bonne communication
•        Sens du service
•        Sens de la confidentialité
•        Gestion de la sécurité des applications
•        Pédagogie
•        Autonomie
•        Réactivité
•        Curiosité intellectuelle
•        Rigueur
•        Travail en équipe","TJM et salaire : Administrateur applicatif  (ERP, CRM, SIRH ...) | Free-Work.com","Retrouvez le TJM et le salaire moyen pour le métier d' administrateur applicatif  (ERP, CRM, SIRH ...). Retrouvez également toutes les informations relatives à ce métier, le profil type, les compétences…",L’administrateur applicatif s’occupe des activités de suivi d’exploitation liée à un ensemble d’applications ou au contraire à une application spécifique.,"Le salaire d’un administrateur applicatif se situe aux alentours de 2000 à 4000 € bruts par mois.   C’est pourquoi, une personne débutante devra envisager un salaire moyen de 24 000 à 30 000 € par an. Sur un profil senior, il n’est pas rare de voir un salaire avoisinant les 50 000 € bruts par an. Le TJM d'un administrateur applicatif est de 550€. ","L’administrateur applicatif dispose d’une fonction importante, car il est en charge de la mise en place de solutions applicatives et bien évidemment de son suivi. Il intervient dans un système d’information parfois complexe pour son entreprise ou pour un client extérieur. Sa mission première repose sur la conceptualisation d’un besoin qui est alors exprimé par les utilisateurs. Mais avant de s’orienter vers des solutions, une étude de faisabilité préalable est absolument indispensable.
Suite à cela, il engage le projet en disposant d’une maîtrise d’ouvrage absolument parfaite. Par ailleurs, son métier nécessite de travailler avec plusieurs autres fonctions pour assurer une coordination efficiente.","•	L’administrateur applicatif étudie précisément le projet et fournit une évaluation en respectant le cahier des charges. Il prend en compte les nombreuses spécificités et s’oriente uniquement vers la solution la plus adéquate. Cela nécessite une très grande maîtrise et le pilotage du projet en évaluant toutes les capacités nécessaires. Par ailleurs, il sera indispensable de découper le projet en différentes étapes nécessaires avant son déploiement tel que le paramétrage, la recette et l’intégration.
•	L’administrateur applicatif s’occupe également d’établir les différents plans de charges par rapport au délai, aux ressources nécessaires et bien évidemment en prenant en considération l’aspect budgétaire.
•	Son rôle est également essentiel dans l’animation du groupe projet en l’encadrant intégralement et en s’assurant de son suivi.
•	Par ailleurs, l’administrateur applicatif organise précisément le déploiement avec l’ensemble des acteurs concernés.
•	Lorsqu’un support technique doit être fourni auprès des utilisateurs, c’est encore une fois l’administrateur applicatif qui sera en première ligne.
Comme vous pouvez le voir, les missions sont très nombreuses et variées mais elles présentent le point commun d’avoir une rigueur systématique.","•	Il est impératif que l’administrateur applicatif soit à l’aise dans le management d’une équipe.
•	Une aisance relationnelle est donc requise, tout comme un sens de l’écoute particulièrement développé pour anticiper les besoins du client et être force de proposition.
•	Il faut également savoir que la fonction nécessite des compétences très précises dans l’architecture d’un système d’information, mais également dans le domaine de la sécurité informatique et bien évidemment dans la conduite de projet.
•	Une connaissance du fonctionnement de son entreprise demeure un impératif, tout comme avoir des connaissances sur les marchés et les produits disponibles.","•	L’administrateur applicatif doit disposer d’un profil complet sur le plan technique et relationnel.
•	Respecter une charte de sécurité et d’utilisation par rapport au système d’information.
•	Faire preuve de réactivité, de rigueur et avoir un excellent sens de l’organisation.
•	L’administrateur applicatif doit également manipuler les logiciels, les matériels et architecture technique.
•	Son savoir-faire est également reconnu dans les procédures d’alerte et d’escalade.
•	Un esprit d’analyse et de synthèse reste indispensable pour mener à bien le projet.
•	Une capacité d’écoute et une excellente aisance relationnelle sont des critères indissociables du métier, tout en ayant des qualités pédagogiques.
•	Il faut aussi bien savoir manier la maîtrise technique et laisser parler la créativité.",Fiche métier : Administrateur applicatif| Free-Work.com,"Découvrez le métier d'administrateur applicatif. Les compétences requises, les missions principales, le salaire, le TJM, la formation."
Administrateur Linux,"Production, Système et Réseau , Support",1,Administrateur système linux,1,Administrateur système linux,,"L'administrateur système veille au bon fonctionnement des infrastructures d'une entreprise.
Il peut également se charger de l'installation, du paramétrage, de la mise à jour, de la sauvegarde ou encore du support du serveur ou du parc de serveurs (Unix, Windows, Linux, dont il a la charge).
Au-delà de l'installation de serveurs et de la résolution de problèmes, l'administrateur système doit démontrer une véritable expertise auprès de ses clients en proposant des solutions adaptées à leurs besoins.
L'administrateur système assure l'interface entre le DSI, l'administrateur base de données, l'administrateur et les développeurs.","Bac +2 à bac +5 : université, école d'informatique, école d'ingénieurs","Installation de nouveaux serveurs
Création de comptes utilisateurs
Gestion des scripts de démarrage
Installation de produits tiers liés aux systèmes d'exploitation
Assurer les montées de version
Remonter les incidents techniques aux constructeurs","SUN Solaris
AIX
HP-UX
Windows
Red hat
Résolution de problèmes complexes
Serveur",TJM et salaire : Administrateur systèmes | Free-Work.com,"Retrouvez le TJM et le salaire moyen pour le métier d' Administrateur systémes. Retrouvez également toutes les informations relatives à ce métier, le profil type, les compétences…","Un administrateur système est professionnel de l'informatique assemble du matériel informatique, s'assure de son bon fonctionnement et de sa compatibilité avec les installations de ses employeurs. Il doit aussi garantir la sécurité des systèmes informatiques. Un administrateur système peut aussi être chargé de faire appel à des techniciens pour mettre en place une stratégie visant à redynamiser un réseau. Son travail lui demande aussi une veille informatique constante pour répondre dès que des changements majeurs interviennent.",Les administrateurs système sont payés en moyenne à hauteur de 423 euros par jour. C'est un tarif qui peut toutefois évoluer en fonction de l'étendue de la mission et des accords passés avec le client. Un administrateur systèmes peut gagner un salaire compris entre 24 000 et 40 000 € bruts par an.,"La particularité du métier est que cet expert n'est pas concerné que par un seul type d'entreprise. Ses services sont nécessaires dans différents secteurs d'activités, tels que les administrations, le secteur secondaire, les médias, etc. Tant qu'il y a des systèmes informatiques à administrer, l'administrateur système peut intervenir.
Par ailleurs, il existe différentes possibilités d'évolution pour l'administrateur système. En effet, au fil des années, en effectuant différentes missions et en accumulant de l'expérience, il a même la possibilité de se spécialiser. En fonction de ses ambitions, il peut également accepter des missions plus importantes comme celles de responsable informatique, d'ingénieur ou de consultant.","Les serveurs d'une entreprise sont pris en charge par l'administrateur système. Ses missions peuvent consister à les installer, les configurer, les mettre à jour, etc. C'est également à lui que revient le rôle d'assurer leur sécurité. En fonction des demandes de ses clients, il peut être amené à intervenir avant, pendant ou après l'installation des serveurs. On peut aussi lui confier des missions de supervision.
Il faut également préciser que l'importance des travaux effectués par l'administrateur système fait de lui une personne qui traitera avec divers responsables d'une entreprise. En effet, il doit rendre compte au responsable du département informatique, à l'administrateur des bases de données, etc.","Les compétences de l'administrateur système font partie de sa force, car c'est à partir d'elles qu'il peut satisfaire ses employeurs. Il s'agit d'un mélange des aptitudes et des connaissances acquises au cours de son cursus, mais également de ses expériences. En somme, l'administrateur système possède une connaissance avancée des différents systèmes d'exploitation existant, Microsoft, etc. C'est aussi un développeur web dans l'âme, et un expert en base de données.
C'est également une personne de synthèse et à la fois ouverte d'esprit. Dans certaines entreprises, l'administrateur système est placé à la tête d'équipes pour travailler sur certains projets. Il doit donc être un bon coordonnateur, mais également développer un esprit d'équipe pour les situations où il doit travailler avec des collègues.
Par ailleurs, tout ne se passe pas toujours comme prévu en informatique. Cela signifie que l'administrateur système doit développer une capacité à garder son sang-froid en toutes circonstances. Pour chaque problème, il ne doit pas paniquer, mais plutôt s'atteler à trouver des solutions.","Un administrateur système détient généralement un BTS ou un DUT en informatique. Cependant, pour avoir la garantie d'un poste au sein d'une structure, il ne peut pas s'en contenter. En effet, il lui faut en plus compléter des stages de perfectionnement pour approfondir ses connaissances. On peut aussi devenir administrateur système en suivant un autre cursus, à condition qu'il soit lié aux domaines des IT et des systèmes informatiques.
En effet, certains professionnels se présentent avec des licences pro ou des Masters dans différents domaines de l'informatique, toujours pour travailler comme administrateur système. Par ailleurs, ce travail nécessite une aptitude à rester devant un ordinateur durant plusieurs heures. Autant dire qu'il est fondamental d'aimer l'outil informatique, Internet, ainsi que tout ce qui s'y rapporte. Tout cela est nécessaire non seulement pour donner satisfaction aux clients, mais également pour espérer gravir les échelons lorsqu'on ne choisit pas le statut de Freelance.",Fiche métier : Administrateur systèmes | Free-Work.com,"Découvrez le métier d'administrateur systèmes. Les compétences requises, les missions principales, le salaire, le TJM, la formation."
Administrateur Oracle,,1,Administrateur oracle,0,,1,,,,,,,,,,,,,,
Administrateur produits,,0,,0,,,,,,,,,,,,,,,,
Administrateur Réseaux,"Production, Système et Réseau , Support",1,Administrateur réseaux,1,Administrateur réseaux,,"Un administrateur réseaux est en charge de la mise en place et de la surveillance des flux réseaux au sein d'une infrastructure.
Il veille au bon fonctionnement des systèmes de télécommunications qui permettent aux différentes sites et bureaux d'une entreprise d'échanger des informations.
Il doit garantir un échange de données informatiques aussi rapide que possible.
L'administrateur réseaux réceptionne et installe les matériels informatiques et télécoms en veillant à leur compatibilité.
Il intervient en cas de problème technique et signale les dysfonctionnements à l'ingénieur télécoms et réseaux.
Au vu du développement des réseaux, de nouvelles perspectives s'ouvrent pour ce métier.","Bac +2 : BTS ou DUT, éventuellement complété d'une licence professionnelle en informatique, réseaux et télécommunications, pour gérer un réseau local
Bac +5 master en réseaux et télécommunications ou diplôme d'ingénieurs pour les plus complexes","Connexion des nouveaux serveurs
Etablissement du routage
Paramétrage logiciel des interfaces
Analyse des performances du réseau
Fiabilisation et sécurisation du réseau
Supervision des dépannages informatiques
Gestion des solutions de messagerie électronique
Conseil et accompagnement du personnel dans l'utilisation du réseau","Hubs
Switchs
Routeurs
Modems
Firewalls
Proxy",TJM et salaire : Administrateur réseaux | Free-Work.com,"Retrouvez le TJM et le salaire moyen pour le métier d' Administrateur réseaux . Retrouvez également toutes les informations relatives à ce métier, le profil type, les compétences…","Garant du bon fonctionnement du réseau informatique d'une entreprise, l'administrateur réseaux va avoir pour objectif de réaliser des maintenances régulières sur le réseau informatique d'une entreprise. Par ailleurs, il est chargé des problèmes pouvant survenir sur le réseau et doit les régler dans les plus brefs délais. Les utilisateurs rencontrant des problèmes au niveau de l'accès au réseau peuvent se tourner vers ce professionnel exerçant au sein du service IT pour obtenir de l'aide.","Le tarif journalier moyen pour un administrateur réseaux disposant  s'élève en moyenne à 400 €. Le salaire d'un administratuer réseaux s'éléve, en moyenne, à 30 K€. par an. ","Un administrateur réseaux est un professionnel du secteur IT qui va s'occuper de la mise en place et de la maintenance du réseau informatique au sein d'une entreprise. Il va avoir pour but de veiller à ce que les technologies employées soient optimales. Il doit s'occuper de l'installation des nouveaux appareils, mais également gérer les accès au réseau pour les utilisateurs.","Un administrateur réseaux va principalement avoir quatre activités majeures. De manière générale, il va s'occuper de la mise en place, mais également de la gestion du réseau informatique d'une entreprise. Il devra alors faire l'acquisition de matériel, de logiciels et s'assurer de leur bonne installation.
Il va également être chargé de l'administration des réseaux, cela signifie qu'il s'occupera de gérer les normes de sécurité, mais également les accès aux différents réseaux. Il s'attardera ponctuellement sur le budget d'exploitation des réseaux, mais également sur les tableaux de suivi des performances du réseau.
L'administrateur réseaux va avoir pour but de venir en aide aux utilisateurs qui rencontrent des problèmes sur le réseau ou sur les postes. Il interviendra en cas de panne, et ce, dans les plus brefs délais pour permettre aux utilisateurs d'accéder aux données présentes sur le réseau.
Enfin, il doit être en mesure d'effectuer une veille technologique pour anticiper les éventuelles modifications à réaliser sur le réseau pour que ce dernier demeure opérationnel et performant.","Un administrateur réseaux dispose de nombreuses compétences, il est notamment considéré comme étant un expert en ce qui concerne l'administration des réseaux et des systèmes. Le système informatique d'une entreprise n'a pas de secrets pour lui et il connaît les protocoles de communication à la perfection. En ce qui concerne les technologies de communication, il en maîtrise la plupart afin de permettre la bonne installation de ces dernières au sein des locaux de l'entreprise. Windows et Unix étant les principaux systèmes d'exploitation, un administrateur réseau se doit de les connaître. Un tel professionnel, qu'il exerce en free-lance ou non, doit maîtriser l'anglais technique afin de gérer du mieux possible la mise en place du réseau au sein de l'entreprise.","Il n'existe pas de profil type pour un administrateur réseaux, mais ce dernier doit tout de même disposer de certaines qualités. Il doit par exemple être capable d'écouter et de dialoguer facilement avec autrui, les utilisateurs pouvant venir à sa rencontre afin d'obtenir des éclaircissements divers. Il est impératif d'être attentif et réactif, puisque cette profession demande de gérer parfois jusqu'à plusieurs centaines de postes informatiques.
Par ailleurs, en cas de défaillance technique, un administrateur réseau doit savoir garder son calme afin de régler les différents problèmes dans les plus brefs délais. On note également que la patience et la curiosité sont deux qualités importantes dans la mesure où certains problèmes peuvent mettre du temps à être réglés. Il demeure également nécessaire d'être curieux puisque les technologies évoluent rapidement, un administrateur réseau doit pouvoir mettre à jour le réseau ou encore commander de nouveaux appareils dans les plus brefs délais. Le fait de comprendre rapidement le fonctionnement des nouvelles technologies est également non négligeable.",Fiche métier : Administrateur réseaux | Free-Work.com,"Découvrez le métier d'administrateur réseaux. Les compétences requises, les missions principales, le salaire, le TJM, la formation."
Administrateur SQL,,0,,0,,1,,,,,,,,,,,,,,
Administrateur sécurité,,0,,0,,,,,,,,,,,,,,,,
Administrateur Système,,0,,0,,11,,,,,,,,,,,,,,
Administrateur Web,,0,,0,,,,,,,,,,,,,,,,
